Label,TotalOrTargetOverlap,UnionOverlap (Jaccard),MeanOverlap (Dice),VolumeSimilarity,FalseNegativeError,FalsePositiveError
All,0.9586688137412775,0.9079816980172852,0.9517719158006928,0.014388489208633094,0.041331186258722494,0.012289754598810414
1,0.9586688137412775,0.9079816980172852,0.9517719158006928,0.014388489208633094,0.041331186258722494,0.012289754598810414
