Label,TotalOrTargetOverlap,UnionOverlap (Jaccard),MeanOverlap (Dice),VolumeSimilarity,FalseNegativeError,FalsePositiveError
All,0.2678765880217786,0.2678765880217786,0.4225594045233324,-1.1548811909533352,0.7321234119782214,0.0
1,0.2678765880217786,0.2678765880217786,0.4225594045233324,-1.1548811909533352,0.7321234119782214,0.0
