hist_name,map_name,mi,mri_key,no_reg_mi
23R-1,cell_count_100,-0.3823742004458539,mri_1,-0.07453529659181081
23R-1,cell_count_150,-0.45473871516163045,mri_1,-0.09114163700324276
23R-1,cell_count_200,-0.41267489226056947,mri_1,-0.07455890558911638
23R-1,cell_count_250,-0.4149470690412072,mri_1,-0.07495080729734412
23R-1,cell_count_300,-0.40732465401482504,mri_1,-0.07279327882310437
23R-1,cell_count_350,-0.40013866905122253,mri_1,-0.06789458860148143
23R-1,cell_count_400,-0.4033522586789515,mri_1,-0.07042223905201822
23R-1,cell_count_450,-0.3947728746979841,mri_1,-0.06978439087854092
23R-1,cell_count_50,-0.3384276102367499,mri_1,-0.06871182263775516
23R-1,cell_count_500,-0.4017267981337297,mri_1,-0.07630194073565814
23R-2,cell_count_100,-0.393055387515758,mri_1,-0.1454148985126848
23R-2,cell_count_150,-0.44240183802079075,mri_1,-0.15517231250332378
23R-2,cell_count_200,-0.4163330523083508,mri_1,-0.15248351968639412
23R-2,cell_count_250,-0.4306220187872925,mri_1,-0.15820127163130585
23R-2,cell_count_300,-0.42048223361120374,mri_1,-0.15408543668770686
23R-2,cell_count_350,-0.4137144330001047,mri_1,-0.15289663315045948
23R-2,cell_count_400,-0.4249630945198599,mri_1,-0.1602774205415801
23R-2,cell_count_450,-0.42101703969844434,mri_1,-0.15570344697008173
23R-2,cell_count_50,-0.3475117102471028,mri_1,-0.13387426330564928
23R-2,cell_count_500,-0.4074150467941315,mri_1,-0.15205546870595857
23R-3,cell_count_100,-0.13006835568091718,mri_1,-0.009135217500390303
23R-3,cell_count_150,-0.135419554003709,mri_1,-0.01028828030086499
23R-3,cell_count_200,-0.1318329236092596,mri_1,-0.009404792557726083
23R-3,cell_count_250,-0.13303619237310535,mri_1,-0.009627189334484719
23R-3,cell_count_300,-0.13127010955395738,mri_1,-0.009643584659286289
23R-3,cell_count_350,-0.13257642058073452,mri_1,-0.00990128121326848
23R-3,cell_count_400,-0.130090409872148,mri_1,-0.009817296109060535
23R-3,cell_count_450,-0.12955472190464143,mri_1,-0.010093269250744047
23R-3,cell_count_50,-0.12447063675636219,mri_1,-0.008730708167455201
23R-3,cell_count_500,-0.1323463434830706,mri_1,-0.00978082734425018
23R-3,cell_count_100,-0.2907091160967113,mri_2,-0.009349826144813392
23R-3,cell_count_150,-0.30959765161982183,mri_2,-0.010198120938469448
23R-3,cell_count_200,-0.297015912565653,mri_2,-0.009584586557810545
23R-3,cell_count_250,-0.30069184547516065,mri_2,-0.009806254718693825
23R-3,cell_count_300,-0.29993585052367333,mri_2,-0.009995687539729226
23R-3,cell_count_350,-0.3027692201469388,mri_2,-0.010015959686692808
23R-3,cell_count_400,-0.2951232988240749,mri_2,-0.009946397672377493
23R-3,cell_count_450,-0.2951257864312705,mri_2,-0.010276834889624114
23R-3,cell_count_50,-0.2709635728645539,mri_2,-0.008763428006620633
23R-3,cell_count_500,-0.3006377953697851,mri_2,-0.009929668451998153
23R-4,cell_count_100,-0.4135402226917324,mri_2,-0.15134775743219167
23R-4,cell_count_150,-0.46189140323946337,mri_2,-0.162439822439506
23R-4,cell_count_200,-0.4409868304272587,mri_2,-0.15868878140768553
23R-4,cell_count_250,-0.4423231431391577,mri_2,-0.15848151484434583
23R-4,cell_count_300,-0.4323423897781403,mri_2,-0.15697134644437133
23R-4,cell_count_350,-0.4306286028594499,mri_2,-0.15350450230004645
23R-4,cell_count_400,-0.41234190409340177,mri_2,-0.15256126204263032
23R-4,cell_count_450,-0.4046297266208952,mri_2,-0.1470572580282452
23R-4,cell_count_50,-0.36921032611287347,mri_2,-0.13758764617385838
23R-4,cell_count_500,-0.43931679448120503,mri_2,-0.15823178311501235
23R-5,cell_count_100,-0.4008353330135617,mri_2,-0.1375346921763372
23R-5,cell_count_150,-0.45335946967278457,mri_2,-0.14585897089458202
23R-5,cell_count_200,-0.4269990600312459,mri_2,-0.14743056060695048
23R-5,cell_count_250,-0.43052578089533594,mri_2,-0.1503386420364809
23R-5,cell_count_300,-0.41840107045102004,mri_2,-0.14686219607533324
23R-5,cell_count_350,-0.42790683020209724,mri_2,-0.1473469116095367
23R-5,cell_count_400,-0.4050007033377903,mri_2,-0.14229475703994368
23R-5,cell_count_450,-0.39314543517621,mri_2,-0.13984658778923717
23R-5,cell_count_50,-0.3527103073440845,mri_2,-0.12674093738417694
23R-5,cell_count_500,-0.4312614896433913,mri_2,-0.14804610382715194
