,hist_name,map_name,mi,mri_key,component,dice,jaccard
0,23R-1,cell_count_100,-0.3346273475621734,mri_1,H&E,0.945395428899302,0.8964454116793616
1,23R-2,cell_count_100,-0.3574339099695093,mri_1,H&E,0.9429212606107912,0.8920066457448772
2,23R-3,cell_count_100,-0.1301700179071577,mri_1,H&E,0.4915885067738573,0.3258981444926964
3,23R-3,cell_count_100,-0.3954323975222922,mri_2,H&E,0.9618981982868958,0.9265933232169956
4,23R-4,cell_count_100,-0.3982150682494359,mri_2,H&E,0.9723598932520016,0.9462066406974587
5,23R-5,cell_count_100,-0.3877829435145198,mri_2,H&E,0.967551622418879,0.9371428571428572
6,23R-1,cell_count_100,-0.3346273475621734,mri_1,RB Mean,0.945395428899302,0.8964454116793616
7,23R-2,cell_count_100,-0.3574339099695093,mri_1,RB Mean,0.9429212606107912,0.8920066457448772
8,23R-3,cell_count_100,-0.1301700179071577,mri_1,RB Mean,0.4915885067738573,0.3258981444926964
9,23R-3,cell_count_100,-0.3954323975222922,mri_2,RB Mean,0.9618981982868958,0.9265933232169956
10,23R-4,cell_count_100,-0.3982150682494359,mri_2,RB Mean,0.9723598932520016,0.9462066406974587
11,23R-5,cell_count_100,-0.3877829435145198,mri_2,RB Mean,0.967551622418879,0.9371428571428572
12,23R-1,cell_count_100,-0.3346273475621734,mri_1,RGB Mean,0.945395428899302,0.8964454116793616
13,23R-2,cell_count_100,-0.3574339099695093,mri_1,RGB Mean,0.9429212606107912,0.8920066457448772
14,23R-3,cell_count_100,-0.1301700179071577,mri_1,RGB Mean,0.4915885067738573,0.3258981444926964
15,23R-3,cell_count_100,-0.3954323975222922,mri_2,RGB Mean,0.9618981982868958,0.9265933232169956
16,23R-4,cell_count_100,-0.3982150682494359,mri_2,RGB Mean,0.9723598932520016,0.9462066406974587
17,23R-5,cell_count_100,-0.3877829435145198,mri_2,RGB Mean,0.967551622418879,0.9371428571428572
18,23S-1,cell_count_100,-0.3713228536173376,mri_1,H&E,0.953823556412375,0.9117234117234118
19,23S-2,cell_count_100,-0.382168519921882,mri_1,H&E,0.9457863660762212,0.8971486761710794
20,23S-3,cell_count_100,-0.3790088125463802,mri_1,H&E,0.95069971645477,0.9060320781032078
21,23S-3,cell_count_100,-0.3738536391352176,mri_2,H&E,0.9511798987293398,0.9069047185279652
22,23S-4,cell_count_100,-0.3601459851340746,mri_2,H&E,0.941870587097398,0.890127970749543
23,23S-5,cell_count_100,-0.3729608239149243,mri_2,H&E,0.9497261345852896,0.9042652262991246
24,23S-1,cell_count_100,-0.3765447173141549,mri_1,RB Mean,0.9525109170305676,0.9093277748827514
25,23S-2,cell_count_100,-0.3710422098086618,mri_1,RB Mean,0.9518973317329886,0.9082100070472164
26,23S-3,cell_count_100,-0.3808062018034216,mri_1,RB Mean,0.9546999908113571,0.9133263009845288
27,23S-3,cell_count_100,-0.3688419040278728,mri_2,RB Mean,0.954951418196094,0.913786626596544
28,23S-4,cell_count_100,-0.3515854170382574,mri_2,RB Mean,0.9449693191779488,0.8956794682422452
29,23S-5,cell_count_100,-0.3642728971584937,mri_2,RB Mean,0.9516192733017378,0.9077038990393672
