group1,group2,meandiff,tost_pvalue_raw,p-adj,equivalent
100,150,0.01168091744876748,1.7222192171693772e-08,5.2623364969064307e-08,True
100,200,0.024065839238734676,2.9842032003353445e-05,5.129099250576374e-05,True
100,250,0.02750890581745713,0.0001631734388295589,0.00024929275376738165,True
100,300,0.02633113301399226,8.624816891018806e-05,0.00013553283685886696,True
100,350,0.028080432747671746,0.00019713690775344288,0.0002930413493632259,True
100,400,0.02365495285911945,1.717812011927815e-05,3.0477309889041877e-05,True
100,450,0.024763962274630957,3.2617772003569344e-05,5.4362953339282245e-05,True
100,50,-0.03965186502726473,0.010570567905203259,0.01453453086965448,True
100,500,0.03410918613554392,0.002908406044755868,0.004101598268245455,True
100,MRI Width,-0.01954527641463749,5.292551496315713e-07,1.1195782011437085e-06,True
150,200,0.012384921789967196,4.7487328351819285e-07,1.088251274729192e-06,True
150,250,0.01582798836868965,2.9855527513565798e-06,5.662255218090066e-06,True
150,300,0.014650215565224778,1.4753672588096156e-06,2.8980428298046024e-06,True
150,350,0.016399515298904266,3.6321882409096162e-06,6.659011775000963e-06,True
150,400,0.011974035410351969,2.5569947854852806e-07,6.114552747899584e-07,True
150,450,0.013083044825863477,5.079559401814911e-07,1.1175030683992805e-06,True
150,50,-0.05133278247603221,0.27261068240067005,0.31901250068163517,False
150,500,0.022428268686776442,7.869778095324993e-05,0.00012730523389496313,True
150,MRI Width,-0.031226193863404972,0.001504142744309499,0.0021770487088690117,True
200,250,0.0034430665787224535,1.9186454715297556e-09,7.537535781009755e-09,True
200,300,0.002265293775257582,7.665892105983656e-10,4.216240658291011e-09,True
200,350,0.00401459350893707,2.3613537219227693e-09,8.658296980383489e-09,True
200,400,-0.00041088637961522734,1.413578305760526e-10,3.0566261675499842e-09,True
200,450,0.0006981230358962809,1.8788764650536549e-10,3.0566261675499842e-09,True
200,50,-0.0637177042659994,0.8184320067061915,0.9002752073768108,False
200,500,0.010043346896809247,1.331538974282092e-07,3.3288474357052296e-07,True
200,MRI Width,-0.04361111565337217,0.06593556202007109,0.0863441883596169,False
250,300,-0.0011777728034648716,3.531165965016488e-10,3.2369021345984476e-09,True
250,350,0.0005715269302146164,2.2230008491272613e-10,3.0566261675499842e-09,True
250,400,-0.003853952958337681,1.4692006820770226e-09,6.733836459519687e-09,True
250,450,-0.0027449435428261726,7.474602215347068e-10,4.216240658291011e-09,True
250,50,-0.06716077084472186,0.9085088020179651,0.9377144104526645,False
250,500,0.006600280318086793,1.6409867832383287e-08,5.2623364969064307e-08,True
250,MRI Width,-0.04705418223209462,0.13588718349155993,0.16608433537857323,False
300,350,0.001749299733679488,4.3460998420319713e-10,3.4147927330251206e-09,True
300,400,-0.0026761801548728092,5.731454246005092e-10,3.940374794128501e-09,True
300,450,-0.001567170739361301,2.871703916545074e-10,3.1588743081995813e-09,True
300,50,-0.06598299804125698,0.8835289562694052,0.9345017806695632,False
300,500,0.007778053121551665,3.028777034647162e-08,8.767512468715469e-08,True
300,MRI Width,-0.04587640942862975,0.10671174627687842,0.133389682846098,False
350,400,-0.004425479888552297,1.8087394878358992e-09,7.537535781009755e-09,True
350,450,-0.003316470473040789,9.201328558325515e-10,4.600664279162757e-09,True
350,50,-0.06773229777493647,0.9206650575353433,0.9377144104526645,False
350,500,0.006028753387872177,9.87200833845803e-09,3.393502866344948e-08,True
350,MRI Width,-0.04762570916230924,0.14996176735044187,0.1793021131363979,False
400,450,0.0011090094155115082,1.348490520136694e-10,3.0566261675499842e-09,True
400,50,-0.06330681788638418,0.8091937335611316,0.9002752073768108,False
400,500,0.010454233276424474,1.1214124368940093e-07,2.9370325728176434e-07,True
400,MRI Width,-0.04320022927375694,0.0567752035665775,0.07616185844296981,False
450,50,-0.06441582730189568,0.8438753218095868,0.9100616215593583,False
450,500,0.009345223860912966,6.115242513679033e-08,1.681691691261734e-07,True
450,MRI Width,-0.04430923868926845,0.07420592412997096,0.0949145541197303,False
50,500,0.07376105116280865,0.9832175574734303,0.9832175574734303,False
50,MRI Width,0.020106588612627235,1.4457072194797724e-06,2.8980428298046024e-06,True
500,MRI Width,-0.053654462550181414,0.3776680601904997,0.43274465230161424,False
