,Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
0,component,H&E,RB Mean,True,True,1.9506954433736357,34.0,two-sided,0.05937485649647272,0.17812456948941816,holm,0.983,0.044851308054522386
1,component,H&E,RGB Mean,True,True,1.7123223548675455,34.0,two-sided,0.09594510709904494,0.19189021419808988,holm,0.677,0.07080847532385602
2,component,RB Mean,RGB Mean,True,True,0.9419241069450166,34.0,two-sided,0.35287644765314263,0.35287644765314263,holm,0.273,0.026189255949076555
