hist_name,map_name,mi,mri_key,no_reg_mi
23W-1,cell_count_100,-0.29998324611476357,mri_1,-0.10024126811320834
23W-1,cell_count_150,-0.4365778108205249,mri_1,-0.11319580716000623
23W-1,cell_count_200,-0.3632764922870111,mri_1,-0.1151136362890062
23W-1,cell_count_250,-0.37363885978719075,mri_1,-0.11626456937946722
23W-1,cell_count_300,-0.3642723419759911,mri_1,-0.11176074686507549
23W-1,cell_count_350,-0.38358593150468945,mri_1,-0.11424046668559851
23W-1,cell_count_400,-0.36874512958976674,mri_1,-0.10943868027152108
23W-1,cell_count_450,-0.3676284142931396,mri_1,-0.10379315961421708
23W-1,cell_count_50,-0.24077928110307886,mri_1,-0.08405141142573257
23W-1,cell_count_500,-0.40034754409365386,mri_1,-0.12461490878527687
23W-2,cell_count_100,-0.28942257877744676,mri_1,-0.07204847404950493
23W-2,cell_count_150,-0.4192445076071877,mri_1,-0.08165438807353628
23W-2,cell_count_200,-0.3211888278845404,mri_1,-0.07783310139023847
23W-2,cell_count_250,-0.34504749323802186,mri_1,-0.08394452453805809
23W-2,cell_count_300,-0.32663503501919294,mri_1,-0.07856579669760273
23W-2,cell_count_350,-0.3354480535073557,mri_1,-0.07358923483157365
23W-2,cell_count_400,-0.3487236253980222,mri_1,-0.08029126945210088
23W-2,cell_count_450,-0.3612385468019067,mri_1,-0.07918018634160778
23W-2,cell_count_50,-0.23655936723356888,mri_1,-0.061588290444787835
23W-2,cell_count_500,-0.3540418516018587,mri_1,-0.07909325983654639
23W-3,cell_count_100,-0.31274613311171556,mri_1,-0.11560433977273003
23W-3,cell_count_150,-0.4289398415986697,mri_1,-0.12379152973468328
23W-3,cell_count_200,-0.3463237946580171,mri_1,-0.13039729333533634
23W-3,cell_count_250,-0.3468743424640834,mri_1,-0.12148178672483208
23W-3,cell_count_300,-0.3675824554837654,mri_1,-0.13434307890092595
23W-3,cell_count_350,-0.3674501989536015,mri_1,-0.14217290331734483
23W-3,cell_count_400,-0.36524382362175206,mri_1,-0.13189741728249677
23W-3,cell_count_450,-0.37600442838651904,mri_1,-0.14184573522927496
23W-3,cell_count_50,-0.2582393299322536,mri_1,-0.09891681496146768
23W-3,cell_count_500,-0.356356235013221,mri_1,-0.12764924291556726
23W-3,cell_count_100,-0.30298195545228057,mri_2,-0.10659087335415901
23W-3,cell_count_150,-0.42210451127944654,mri_2,-0.11356110697749265
23W-3,cell_count_200,-0.3361755450364313,mri_2,-0.12195326767230101
23W-3,cell_count_250,-0.3303463621697978,mri_2,-0.1136364809730586
23W-3,cell_count_300,-0.3563967726827224,mri_2,-0.12603716552669614
23W-3,cell_count_350,-0.3543772084363264,mri_2,-0.13481173334464755
23W-3,cell_count_400,-0.35214709284633067,mri_2,-0.12175210855678889
23W-3,cell_count_450,-0.3630494860627174,mri_2,-0.13435696915544218
23W-3,cell_count_50,-0.24270617095173597,mri_2,-0.09143552808871419
23W-3,cell_count_500,-0.3462103900955723,mri_2,-0.12290112372550151
23W-4,cell_count_100,-0.32562542294499336,mri_2,-0.05321712438641969
23W-4,cell_count_150,-0.4195526065989416,mri_2,-0.06179285044005857
23W-4,cell_count_200,-0.37344307652361697,mri_2,-0.05905613148438035
23W-4,cell_count_250,-0.37524757136233466,mri_2,-0.05780642150529917
23W-4,cell_count_300,-0.3840100936327193,mri_2,-0.05730700912515715
23W-4,cell_count_350,-0.36331769305556516,mri_2,-0.05635411330816995
23W-4,cell_count_400,-0.3719031641550103,mri_2,-0.0554952658552346
23W-4,cell_count_450,-0.37784964242488717,mri_2,-0.05538625701497832
23W-4,cell_count_50,-0.28240684399232263,mri_2,-0.04839852242492546
23W-4,cell_count_500,-0.3959689388359194,mri_2,-0.06573772940136084
23W-5,cell_count_100,-0.3067372816951252,mri_2,-0.05573716459384007
23W-5,cell_count_150,-0.41027051248383917,mri_2,-0.06505565996558751
23W-5,cell_count_200,-0.3553892364040877,mri_2,-0.06352050519986717
23W-5,cell_count_250,-0.36414805855164106,mri_2,-0.06222200041745596
23W-5,cell_count_300,-0.37259516301646134,mri_2,-0.06487926797224763
23W-5,cell_count_350,-0.38135700260335337,mri_2,-0.06956157874618273
23W-5,cell_count_400,-0.3895562486356315,mri_2,-0.06810386085723448
23W-5,cell_count_450,-0.3769654654168088,mri_2,-0.06783661944314104
23W-5,cell_count_50,-0.2631812719929172,mri_2,-0.04734865900722382
23W-5,cell_count_500,-0.3832091713356516,mri_2,-0.07814230019665183
