Label,TotalOrTargetOverlap,UnionOverlap (Jaccard),MeanOverlap (Dice),VolumeSimilarity,FalseNegativeError,FalsePositiveError
All,0.5787713430734026,0.38682352941176473,0.5578554462164913,0.07227689175432643,0.42122865692659744,0.11144494959478157
1,0.5787713430734026,0.38682352941176473,0.5578554462164913,0.07227689175432643,0.42122865692659744,0.11144494959478157
